ALT,ALP,AST,ALB,LDH,CK,CK MB,ALDO,CREA,P,CO2,AMM,NA/K,New_category,JB_category,Month
34.4,981.6,160.746851,22.7,254.3,2050.989893,3554.934874,82.38385356,79.8,7.12,9.082255521,1384.3,158.85,HEALTHY,HEALTHY,February
6.3,767.8,186,14.9,660.8,1107.7,2100,17.3,92.74,8.2,3,1324.1,152.4,HEALTHY,HEALTHY,February
3.3,674.2,68.4,17.2,693.8,750.5,2198,15.7,23.69,5,6.7,614.6,147,HEALTHY,HEALTHY,February
2.4,434.8,73.7,12.5,492.9,124.2,100,16.3,72.66,7.2,3.6,3318.6,146,HEALTHY,HEALTHY,February
2,166.7,11.7,6.7,73.4,2050.989893,3554.934874,16.3,46.97,6.8,0.8,712.5,159.6,HEALTHY,HEALTHY,February
1.3,578.6,207.7,18.3,647.8,2050.989893,3554.934874,82.38385356,67.3,6,9.082255521,548.6,150.3,HEALTHY,HEALTHY,February
1,733.3,88.5,20.8,640.9,2050.989893,1403,82.38385356,84.8,7.21,7.5,515.5,183,HEALTHY,HEALTHY,February
0.7,1186.1,90.4,19.3,612.9,1288.9,2400,15.3,67.04,8.8,3.4,1405.9,146.1,HEALTHY,HEALTHY,February
3.907073643,561.7,30.3,14,512,2050.989893,3554.934874,82.38385356,57.4,4.38,9.082255521,409.2,142.65,HEALTHY,HEALTHY,February
3.907073643,961.5,87.9,19.8,597.2,2050.989893,3981,82.38385356,89.8,7.96,7.7,777.3,168.6,HEALTHY,HEALTHY,February
3.907073643,342.4,59.6,9.2,592.6,2050.989893,201,82.38385356,34.9,3.12,5.9,321.6,120.45,HEALTHY,HEALTHY,February
3.907073643,525.6,94.6,15.2,606.4,887.43,1418,82.38385356,57.4,5.3,7.7,369,149.7,HEALTHY,HEALTHY,February
3.907073643,956.8,50.7,17.9,699.8,709.1,1952,15.6,23.69,5.8,7,652,158.4,HEALTHY,HEALTHY,February
3.907073643,495.2,56.5,15.5,624.8,646.01,1086,82.38385356,57.4,5.66,5.4,409.5,152.7,HEALTHY,HEALTHY,February
3.907073643,292.3,74,15,495.9,390.35,604,82.38385356,54.9,4.71,4.5,255.7,146.85,HEALTHY,HEALTHY,February
3.907073643,527.8,44.2,13.1,426.9,158.58,3554.934874,82.38385356,49.9,4.55,9.082255521,259.6,157.05,HEALTHY,HEALTHY,February
3.907073643,856.1,11.3,13.8,325.2,82.8,100,14.5,18.07,6.3,9.1,999.1,140.4,HEALTHY,HEALTHY,February
3.907073643,806.5,160.746851,16.4,677.7,78.78,3554.934874,82.38385356,69.8,5.71,9.082255521,310.6,181.95,HEALTHY,HEALTHY,February
3.907073643,508.5,22.7,15.2,492.9,72.5,148,15.2,26.9,4.7,9.1,315.6,129.2,HEALTHY,HEALTHY,February
4.75,1168.4,79.6,16.9,662.6,1123.6,2440,82.38385356,43.65,6.8,6.2,1192.4,134.2,HEALTHY,HEALTHY,March
2.49,222.4,160.746851,13.48,562.5,2050.989893,3554.934874,82.38385356,44.45,3.8,6.6,342.2,140.7,HEALTHY,HEALTHY,March
2.03,848.8,80.2,14.63,609.8,280.9,3554.934874,82.38385356,17.78,5.9,7.4,932.7,133.4,HEALTHY,HEALTHY,March
3.907073643,969.9,56,16.8,663.8,1511.4,2600,36.5,38.94,6.6,8.5,751.3,140.6,HEALTHY,HEALTHY,March
3.907073643,974.5,228.5,17.2,424.1,1190.5,2020,8.7,34.12,6.2,8.2,778.3,165.2,HEALTHY,HEALTHY,March
3.907073643,821.2,46.4,16,630.8,740.2,2080,7.1,34.12,5.6,5.8,346.7,151.7,HEALTHY,HEALTHY,March
3.907073643,901.9,51.4,17,513.9,440,760,26.8,30.11,7.2,6.7,1120.1,144.8,HEALTHY,HEALTHY,March
3.907073643,543.2,24.4,17,451.1,398.6,960,27,84.71,6.7,5.5,1027.9,148.5,HEALTHY,HEALTHY,March
3.907073643,293.2,10.3,12.8,391.1,51.8,180,19.5,17.26,4.1,8.9,423.8,161.2,HEALTHY,HEALTHY,March
3.907073643,206.8,160.746851,8.7,211.2,2050.989893,3554.934874,21.6,10.84,2.1,5.2,128.9,104,HEALTHY,HEALTHY,March
8.8,607.7,66.3,16.7,640.9,2050.989893,20,51.4,92.3,6.25,9.082255521,874,148.2,HEALTHY,HEALTHY,May
4.1,683,394,18.1,576.9,5072.6,2420,13.7,31.4,7.4,10.7,1071.8,114.9,HEALTHY,HEALTHY,May
3.4,823.1,391.7,16.8,666.8,2267.1,3554.934874,10.7,25.77,7,6.7,869.7,143.6,HEALTHY,HEALTHY,May
3.1,604.2,407.1,17.3,507.9,4736.2,2656,13.3,26.71,6.8,8.8,907.3994793,131.6,HEALTHY,HEALTHY,May
2.6,633.5,256.5,14.9,579.9,155.3,3554.934874,6.1,25.77,6.1,8.1,544.9,153.5,HEALTHY,HEALTHY,May
1.9,865.5,349.1,18.3,460.1,1620.1,5184,13.4,30.46,7.5,7.4,1122,150.8,HEALTHY,HEALTHY,May
1.9,756.7,51.8,15.3,262.2,186.3,3554.934874,13.5,27.65,6,8.1,724.7,148.5,HEALTHY,HEALTHY,May
1.9,561.7,227.2,15.4,477.9,165.6,3554.934874,10.4,26.71,4.6,8.8,375.6,135.3,HEALTHY,HEALTHY,May
1.6,733.8,359.7,16.3,531.9,1992.8,3554.934874,13.9,21.09,5.7,6.1,552.9,153.9,HEALTHY,HEALTHY,May
1.4,422.3,389.2,14.9,492.9,512.4,3554.934874,10.5,25.77,4.9,9.1,246.8,124.8,HEALTHY,HEALTHY,May
1.1,782.3,169.1,19.5,543.9,9415.4,3554.934874,13.5,35.15,7.7,5.9,1078.1,152,HEALTHY,HEALTHY,May
0.8,533.9,158.2,16.8,652.4,2050.989893,3554.934874,82.38385356,172.1,6.334117647,9.082255521,907.3994793,141.3,HEALTHY,HEALTHY,May
0.8,816.1,159.3,18.4,670.8,2050.989893,3554.934874,15,107.2,8.44,4.8,1518.1,148.2,HEALTHY,HEALTHY,May
0.6,619.5642319,146,18.7,334.2,1288.9,3554.934874,7.2,30.46,6.7,7.2,653.4,151.7,HEALTHY,HEALTHY,May
0.4,749.3,270,18.2,573.9,2256.8,3626,12.9,32.33,8.1,8.5,1241.6,139.1,HEALTHY,HEALTHY,May
0.3,642.8,225.6,15.2,433.8,2050.989893,3554.934874,18.9,64.8,5.77,9.082255521,713.6,143.1,HEALTHY,HEALTHY,May
0.1,952.7,74.1,16.9,492.9,496.9,3554.934874,12.6,37.02,7.1,7.3,983.5,137.9,HEALTHY,HEALTHY,May
3.907073643,812.6,243.6,18.9,684.8,3085,3554.934874,13.2,37.96,7.2,7.4,864.3,143.7,HEALTHY,HEALTHY,May
3.907073643,674.6,92.2,14.6,543.9,398.6,3554.934874,13.3,30.46,5.4,8,796.6,125.4,HEALTHY,HEALTHY,May
3.907073643,586.7,152.1,13.6,391.1,139.8,3554.934874,10.6,22.96,4.9,7.4,413.5,129.6,HEALTHY,HEALTHY,May
3.907073643,674.6,160.746851,14.6,669.8,98.3,3554.934874,10.6,27.65,6.7,8.1,1056.6,128.2,HEALTHY,HEALTHY,May
3.907073643,471.1,143.1,15,618.8,93.2,3554.934874,6.5,26.71,5.5,7.2,648.3,135.3,HEALTHY,HEALTHY,May
3.907073643,463.9,60.9,13.8,401.6,2050.989893,1020,1.2,134.7,6.334117647,4.7,859.6,145.5,HEALTHY,HEALTHY,May
3.907073643,542.2,77.1,13.4,477.5,2050.989893,220,0.5,69.8,5.81,6.5,783.2,146.25,HEALTHY,HEALTHY,May
3.907073643,616.6,61.5,16.1,224.4,2050.989893,3554.934874,4.8,62.3,5.58,6.1,531.8,139.35,HEALTHY,HEALTHY,May
3.907073643,575.1,101.8,17.6,420,2050.989893,3554.934874,6.5,79.8,7.2,9.082255521,907.3994793,145.35,HEALTHY,HEALTHY,May
3.907073643,609.9,81,16.1,505.1,2050.989893,3554.934874,10.4,64.8,5.62,6.7,802.4,148.35,HEALTHY,HEALTHY,May
3.907073643,713.5,81.7,18.2,569.6,2050.989893,3554.934874,4.1,122.2,7.71,9.082255521,907.3994793,149.1,HEALTHY,HEALTHY,May
3.907073643,432.6,85,15.4,666.2,2050.989893,3554.934874,5.5,77.3,7.29,9.082255521,1119.7,148.5,HEALTHY,HEALTHY,May
10.2,568.5,283.3,15.4,567.9,874.8,1760,187.7,36.08,4.7,10.3,337.4,162.6,HEALTHY,HEALTHY,June
6.7,596.1,315.8,18.1,367.1,3685.4,7498,82.38385356,29.52,6.8,9.7,887.4,147.6,HEALTHY,HEALTHY,June
5.7,720.4,387.2,17.3,382.1,2712.3,4640,82.38385356,32.33,7.8,11.2,1102.5,140,HEALTHY,HEALTHY,June
4.6,676.9,354.3,16.2,385.1,1356.1,2562,82.38385356,28.59,5.6,13,539.1,145.2,HEALTHY,HEALTHY,June
4.6,509.5,289.8,15,193.4,553.8,1122,181,26.71,5.4,12,408.5,142.7,HEALTHY,HEALTHY,June
4.1,709.6,254,19.7,645.8,4348,6742,82.38385356,32.33,7.4,13,1023,132.9,HEALTHY,HEALTHY,June
4.1,681.6,398.2,15.2,304.2,1376.9,2964,14.7,29.52,5.7,11.6,549.3,145.5,HEALTHY,HEALTHY,June
4.1,674.9,321.2,16.3,403.1,1309.6,2610,179.4,29.52,5.4,12.3,445.1,132,HEALTHY,HEALTHY,June
3.9,529.7,398.4,15.6,543.9,6630.6,3554.934874,18.3,26.71,4.6,11,456.1,113,HEALTHY,HEALTHY,June
3.9,641.2,145.6,16.1,376.1,885.1,1170,82.38385356,34.21,4.8,13.8,416.4,133.7,HEALTHY,HEALTHY,June
3.6,565.8,281.3,16.5,472.1,6247.6,9270,82.38385356,32.33,4.9,13.8,300.8,125.1,HEALTHY,HEALTHY,June
